name,fabric_name,weave,width,weight_feel_suitability,content,design_name_color,shipping_weight,design_no,min_order_qty,max_order_qty,step,quantity,price_text,ragular_price,sale_price,categories,short_description,long_description,images,tags,manage_stock,stock,status
Printed Georgette-32S1F1,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F1,1.2,1.2,0.1,1.2,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F1-(4).jpg, 32S1F1-(2).jpg, 32S1F1-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, snake prints, animal skin prints, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F2,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Multicolour,0.2,32S1F2,2.3,2.3,0.1,2.3,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F2-(4).jpg, 32S1F2-(2).jpg, 32S1F2-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F3,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F3,3.5,3.5,0.1,3.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F3-(4).jpg, 32S1F3-(2).jpg, 32S1F3-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F4,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Light Grey,0.15,32S1F4,3.65,3.65,0.1,3.65,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F4-(4).jpg, 32S1F4-(2).jpg, 32S1F4-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, light grey",yes,in_stock,published 
Printed Georgette-32S1F5,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Dark Blue,0.15,32S1F5,4.2,4.2,0.1,4.2,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F5-(4).jpg, 32S1F5-(2).jpg, 32S1F5-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, dark blue",yes,in_stock,published 
Printed Georgette-32S1F6,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Dark Blue,0.15,32S1F6,3.5,3.5,0.1,3.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F6-(4).jpg, 32S1F6-(2).jpg, 32S1F6-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, dark blue",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F7,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Yellow & White,0.2,32S1F7,1.7,1.7,0.1,1.7,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F7-(4).jpg, 32S1F7-(2).jpg, 32S1F7-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, yellow, white",yes,in_stock,published 
Printed Georgette-32S1F8,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F8,3.5,3.5,0.1,3.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F8-(4).jpg, 32S1F8-(2).jpg, 32S1F8-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F9,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Dark Blue,0.15,32S1F9,3.5,3.5,0.1,3.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F9-(4).jpg, 32S1F9-(2).jpg, 32S1F9-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F10,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Black,0.15,32S1F10,1.5,1.5,0.1,1.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F10-(4).jpg, 32S1F10-(2).jpg, 32S1F10-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F11,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Mustard Yellow,0.2,32S1F11,4.7,4.7,0.1,4.7,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F11-(4).jpg, 32S1F11-(2).jpg, 32S1F11-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, yellow, mustard yellow",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F12,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Multicolour,0.2,32S1F12,1.4,1.4,0.1,1.4,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F12-(4).jpg, 32S1F12-(2).jpg, 32S1F12-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F13,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Black & white,0.2,32S1F13,2.4,2.4,0.1,2.4,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F13-(4).jpg, 32S1F13-(2).jpg, 32S1F13-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, black and white",yes,in_stock,published 
Printed Georgette-32S1F14,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Black,0.15,32S1F14,7,7,0.1,7,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F14-(4).jpg, 32S1F14-(2).jpg, 32S1F14-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, black",yes,in_stock,published 
Printed Georgette-32S1F15,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F15,1,1,0.1,1,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F15-(4).jpg, 32S1F15-(2).jpg, 32S1F15-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F16,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Multicolour,0.2,32S1F16,1.25,1.25,0.1,1.25,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F16-(4).jpg, 32S1F16-(2).jpg, 32S1F16-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F17,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Rust,0.2,32S1F17,1.3,1.3,0.1,1.3,220 per meter,220,176,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F17-(4).jpg, 32S1F17-(2).jpg, 32S1F17-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, rust",yes,in_stock,published 
Printed Bubble Georgette-32S1F18,Bubble Georgette,Plain,58 Inches,"Lightweight & Crinckled/ Suitable for making dresses, suits, skirts, tops, kurti, kaftan, kids wear and more.",100% Polyester,Blue & Off white,0.2,32S1F18,3.5,3.5,0.1,3.5,850 per meter,850,680,cut-pieces,"Printed bubble georgette fabric is suitable for making dresses, skirts, tops, kurti, kaftan, flowy gowns, chiffon saree, ladies wear and more.",Bubble georgette fabric is a polyester base fabric formed on plain weave. Bubble gerogette is a fabric with light terxure on it with good drape and elegant look. Bubble georgette fabric is commonly used for making dresses.,"32S1F18-(4).jpg, 32S1F18-(2).jpg, 32S1F18-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, bubble georgette prints, printed bubble georgette, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, blue, off white",yes,in_stock,published 
Printed Georgette-32S1F19,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F19,1.4,1.4,0.1,1.4,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F19-(4).jpg, 32S1F19-(2).jpg, 32S1F19-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Georgette-32S1F20,Printed Georgette,Plain,44 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,Multicolour,0.15,32S1F20,4.5,4.5,0.1,4.5,110 per meter,110,88,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F20-(4).jpg, 32S1F20-(2).jpg, 32S1F20-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, multicolour",yes,in_stock,published 
Printed Summer Cool Georgette-32S1F21,Summer Cool Georgette,Plain,44 Inches,"Heavy Georgette & textured/ Used for making dresses, skirts, blouses, tops, kurtis, kaftan etc.",100% Polyester,Dark Blue & white,0.2,32S1F21,3.3,3.3,0.1,3.3,150 per meter,150,120,cut-pieces,"Printed summer cool georgette fabric, suitable for making dresses, skirts, tops, kurtis, kaftan, blouses, saree, dupatta, palazzo etc.","Summer Cool georgette fabric is a polyester based heavy georgette fabric on plain weave. Summer cool georgette is well known for its texture and for nice quality, known as poly moss. It is used for designing and making dresses.
","32S1F21-(4).jpg, 32S1F21-(2).jpg, 32S1F21-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, heavy georgette, poly moss, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, blue, white",yes,in_stock,published 
Printed Georgette-32S1F22,Printed Georgette,Plain,56 Inches,"Lightweight & semi sheer/ suitable for making sarees, suits, kurti, dupatta, stoles, kaftan, tops and more.",100% Polyester,White,0.15,32S1F22,2.4,2.4,0.1,2.4,220 per meter,220,176,cut-pieces,"Printed georgette fabric is suitable for making saree, suits, dresses, flowy gowns, kaftan, tops, skirts, stoles, palazzo and more.","Printed georgette fabric is a polyester based sheer fabric on plain weave. Georgette is known for its lightweight, sheer and wrinkle free quality. Georgette cloth is woven in highly twisted yarns, which makes it slightly rough to the touch. Suitable for making dresses.","32S1F22-(4).jpg, 32S1F22-(2).jpg, 32S1F22-(3).jpg","georgette fabrics, printed georgette, georgette prints, polyesters, poly georgette fabrics, polyester georgette fabrics, fabric for dresses, fabric for tops, fabric for dresses, fabric for suits, cut pieces, cutpieces, white",yes,in_stock,published 
